"","Author","Isbn","Ean","Title","Pub.Date","Medium","Ans.Code","Available","Consignment.On.Hand","Reserved.Stock","Sets.Made.Up","Prev.Edition.Isbn","Prev.Edition.Ean","Review","OQ.6","OQ.9","OQ.12","OQ.15"
"1","REVLIN.RUSSELL","0716756676","9780716756675","COGNITION.THEORY.PRACTICE",2012-02-24,"CT","AS",372,31,0,8,"",NA,"No Review",369.758436528301,554.637654792451,739.516873056602,924.396091320752
"2","KIRSZNER.LAURIE.G.","1319041086","9781319041083","CP.PATTERNS.13E.HUDSON.VALLEY.CC",2015-07-29,"CU","AS",305,0,0,0,"",NA,"No Review",0,0,0,0
"3","HOCKENBURY.SANDRA.E.","1319041957","9781319041953","CP.PSYCHOLOGY.7E.IDAHO.STATE",2015-07-31,"CU","AS",317,0,0,0,"",NA,"No Review",0,0,0,0
"4","FREEDMAN.ROGER.A.","1319042406","9781319042400","UNIVERSE.STARS.GALAX.5E.REPRINT",2015-07-29,"PT","AS",792,0,0,0,"",NA,"No Review",0,0,0,0
"5","FREEDMAN.ROGER.A.","1319042430","9781319042431","LL.UNIVERSE.10E.REPRINT",2015-07-29,"LL","AS",498,0,0,1,"",NA,"No Review",0,0,0,0
"6","FREEDMAN.ROGER.A.","1319042465","9781319042462","UNIVERSE.SOLAR.SYSTEM.5E.REPRINT",2015-07-29,"PT","AS",698,10,0,0,"",NA,"No Review",0,0,0,0
"7","MOORE.DAVID.S.","1319044239","9781319044237","CP.LL.BASIC.PRAC.STAT.7E.ETSU",2015-08-07,"CU","AS",1660,0,0,8,"",NA,"No Review",0,0,0,0
"8","MORRIS.JAMES.R.","1319056911","9781319056919","HOW.LIFE.WORKS.REPRINT",2015-07-24,"CT","AS",2080,0,0,674,"1429218703","9781429218702","No Review",0,0,0,0
"9","MORRIS.JAMES.R.","131905692X","9781319056926","HOW.LIFE.WORKS.V1.REPRINT",2015-07-24,"PT","OS",398,0,0,555,"1464104271","9781464104275","No Review",0,0,0,0
"10","MORRIS.JAMES.R.","1319056938","9781319056933","LL.HOW.LIFE.WORKS.REPRINT",2015-07-24,"LL","AS",2307,0,0,1942,"1464104298","9781464104299","No Review",0,0,0,0
"11","SCHWARTZ.STUART.B.","0312393555","9780312393557","VICTORS.AND.VANQUISHED.REPRINT",2000-11-15,"PT","AS",1051,31,0,1,"",NA,"No Review",0,0,0,0
"12","DUBOIS.LAURENT","031241501X","9780312415013","SLAVE.REVOLUTION.IN.CARIBBEAN",2006-02-22,"PT","AS",1077,0,0,40,"",NA,"No Review",-730.800644542831,346.22076101443,754.099896142108,481.07062273054
"13","SCHECHTER.RONALD","0312442432","9780312442439","NATHAN.THE.WISE.REPRINT",2004-11-01,"PT","AS",297,0,0,27,"",NA,"No Review",-245.213692293592,401.301580728026,733.221203545905,710.825125056492
